# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.000149 0.007900
0.002563 0.007600
0.006676 0.006900
0.004895 0.004600
0.000106 0.007100
0.001292 0.006900
0.018136 0.006600
0.010254 0.005100
0.000000 0.006600
0.000000 0.007100
0.000000 0.008100
0.000000 0.008100
0.000000 0.007600
0.000000 0.007900
0.000561 0.007900
0.000000 0.008900
0.031452 0.006600
0.019544 0.004800
0.005502 0.003300
0.001263 0.003300
0.024062 0.001500
0.006776 0.004100
0.004679 0.006100
0.000003 0.005800
0.018433 0.004100
0.000006 0.006600
0.002593 0.007100
0.000093 0.007600
0.000000 0.007100
0.000000 0.006100
0.000000 0.006600
0.000008 0.005300
0.000044 0.007600
0.000000 0.008100
0.000462 0.007600
0.000000 0.006900
0.000032 0.006900
0.000000 0.008100
0.000000 0.006100
0.000000 0.005600
0.016183 0.001800
0.014767 0.000800
0.005626 0.005800
0.000000 0.005600
0.000000 0.006100
0.006644 0.005600
0.011772 0.006600
0.002347 0.002500
0.000000 0.005600
0.000000 0.005600
0.000000 0.005600
0.002472 0.004800
0.036673 0.003800
0.002907 0.000800
0.000031 0.004300
0.000243 0.004600
0.000003 0.004800
0.000000 0.004800
0.000000 0.005300
0.000000 0.005600
0.000000 0.005300
0.000156 0.006400
0.002645 0.002800
0.000000 0.005100
0.000000 0.005300
0.000000 0.005100
0.000000 0.005100
0.000000 0.004300
0.000000 0.005300
0.000007 0.005800
0.000000 0.006400
0.000000 0.006100
0.000000 0.005600
0.000000 0.003800
0.000000 0.004300
0.000000 0.003800
0.000000 0.004600
0.000287 0.003800
0.005789 0.002000
0.054087 0.003000
0.001948 0.000500
0.000063 0.002500
0.000000 0.004100
0.000000 0.004800
0.000000 0.002300
0.000000 0.001500
0.003329 0.003300
0.000046 0.004800
0.000000 0.003800
0.000000 0.003800
0.000000 0.002500
0.000000 0.002500
0.000000 0.003000
0.006867 0.002500
0.029521 0.001800
0.000000 0.002800
0.000000 0.003300
0.000000 0.002500
0.016234 0.002800
0.032993 0.001500
0.000000 0.002300
0.000000 0.003000
0.000000 0.003000
0.000000 0.001800
0.000000 0.002300
0.000137 0.002500
0.004792 0.002300
0.000096 0.000800
0.000053 0.001300
0.011030 0.000500
0.007834 0.001500
0.000435 0.000000
0.000000 0.002800
0.000003 0.001800
0.001998 0.000000
0.000000 0.002000
0.000498 0.002500
0.000003 0.001000
0.000000 0.002000
0.000000 0.003600
0.006485 0.001300
0.000000 0.003000
0.000000 0.002800
0.000000 0.002800
0.000000 0.003800
0.000000 0.004100
0.000000 0.003000
0.000000 0.002000
0.000000 0.002500
0.000000 0.005800
0.000000 0.003300
0.000075 0.003000
0.001124 0.002500
0.000000 0.003300
0.000000 0.000800
0.000000 0.001300
0.000000 0.003800
0.012356 0.001300
0.000072 0.000800
0.000405 0.001500
0.025061 0.000800
0.000634 0.002300
0.000000 0.001300
0.000000 0.002800
0.000000 0.003800
0.000000 0.002300
0.000000 0.003600
0.000000 0.001300
0.000000 0.001300
0.000795 0.001000
0.000007 0.000800
0.019326 0.001500
0.015799 0.001800
0.000075 0.000800
0.004615 0.001000
0.007658 0.001000
0.000009 0.002300
0.000000 0.002000
0.000000 0.001000
0.000000 0.002000
0.000000 0.002800
0.000000 0.002000
0.000000 0.002000
0.000046 0.001500
0.000000 0.001300
0.000000 0.001500
0.000000 0.001800
0.000000 0.001500
0.000000 0.001300
0.000000 0.001300
0.000000 0.001500
0.001916 0.001000
0.004028 0.000000
0.005798 0.000800
0.029472 0.001300
0.010703 0.002000
0.000000 0.001300
0.000000 0.001300
0.000000 0.001500
0.000538 0.001500
0.000003 0.000500
0.000000 0.001500
0.000000 0.002300
0.000000 0.002500
0.000000 0.002500
0.017148 0.001800
0.000000 0.002300
0.000000 0.002000
0.000000 0.002300
0.000000 0.001300
0.020219 0.001500
0.018302 0.001800
0.000000 0.004100
0.000000 0.003000
0.000000 0.002300
0.002469 0.001500
0.000000 0.002300
0.014702 0.001500
0.011497 0.002000
0.000000 0.001800
0.023609 0.001500
0.039255 0.001500
0.000000 0.002500
0.008121 0.002300
0.057200 0.000000
0.028531 0.000300
0.001564 0.002000
0.000068 0.002300
0.000736 0.001000
0.000128 0.003600
0.000087 0.005600
0.003093 0.000300
0.007346 0.003000
0.000895 0.000300
0.003393 0.000800
0.002331 0.001300
0.000000 0.002800
0.001506 0.002800
0.001805 0.004300
