# Generated by tmod.input prcp_voronoi=prcp_stations_voronoi_watershed evap_voronoi=evap_stations_voronoi_watershed start_date=2010-01-01 end_date=2020-12-31 output=input.txt
# dt [h]: Time step
24

################################################################################
# R [m/dt]:  Rainfall
# Ep [m/dt]: Potential evapotranspiration

# R Ep
0.021438 0.001800
0.000772 0.005800
0.003187 0.004800
0.003824 0.005100
0.001301 0.005800
0.008734 0.004600
0.000003 0.005800
0.000056 0.005300
0.011164 0.004800
0.000000 0.007600
0.000017 0.007600
0.000000 0.008900
0.000000 0.005600
0.000055 0.008900
0.000410 0.007600
0.000455 0.008100
0.000415 0.006900
0.003061 0.007600
0.003338 0.000000
0.001185 0.007600
0.000687 0.006600
0.026365 0.002800
0.010241 0.000800
0.003075 0.002300
0.013120 0.008100
0.001968 0.004100
0.001244 0.003300
0.007407 0.005300
0.003210 0.004300
0.000000 0.004600
0.000007 0.005300
0.001507 0.006100
0.001540 0.005100
0.000000 0.007600
0.000000 0.005600
0.001558 0.004300
0.010085 0.004100
0.001147 0.003300
0.000000 0.003800
0.000000 0.005600
0.000000 0.007600
0.016277 0.002300
0.000598 0.006100
0.007621 0.005300
0.000000 0.006100
0.000170 0.007600
0.013249 0.000500
0.028262 0.003800
0.000170 0.003800
0.000000 0.005800
0.000056 0.004800
0.010751 0.004300
0.009353 0.003800
0.002549 0.001800
0.000079 0.003800
0.000000 0.004300
0.000600 0.006400
0.000768 0.004300
0.000000 0.006100
0.000000 0.004800
0.000000 0.005800
0.000000 0.005600
0.000000 0.003800
0.000000 0.003800
0.000352 0.004600
0.011491 0.004800
0.024591 0.002300
0.020693 0.003000
0.000118 0.005300
0.000000 0.003800
0.000000 0.003800
0.000000 0.005600
0.000000 0.004800
0.000000 0.007100
0.000000 0.001800
0.000000 0.003600
0.000000 0.005300
0.000134 0.004100
0.000950 0.003800
0.029255 0.004300
0.103232 0.000000
0.000138 0.003800
0.000046 0.001500
0.000000 0.003800
0.000000 0.003600
0.000257 0.004100
0.000118 0.005100
0.000000 0.001300
0.000000 0.001000
0.000000 0.003800
0.000000 0.002300
0.000000 0.003800
0.000124 0.003300
0.007333 0.002000
0.000007 0.003800
0.000007 0.001300
0.003276 0.003800
0.000723 0.001000
0.000000 0.004800
0.000000 0.003600
0.000000 0.002300
0.000072 0.003600
0.000000 0.003300
0.000000 0.003800
0.000000 0.002300
0.000000 0.003600
0.000000 0.003000
0.000774 0.003000
0.000000 0.004300
0.000000 0.005300
0.000000 0.004800
0.000000 0.003600
0.000000 0.004600
0.000000 0.003000
0.000106 0.002000
0.007046 0.003000
0.001742 0.002500
